group,question,dataset,value,p,p_adj
wordassoc_energy,q10,gemma,0.15967971086502075,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q10,gpt-oss,0.4928051829338074,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q10,llama,0.11653602123260498,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q10,qwen,0.838133692741394,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q11,gemma,0.43222731351852417,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q11,gpt-oss,0.16551101207733154,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q11,llama,0.08112072944641113,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q11,qwen,0.2502892017364502,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q12,gemma,0.32275813817977905,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q12,gpt-oss,0.35378533601760864,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q12,llama,0.09279966354370117,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q12,qwen,0.242540180683136,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q13,gemma,0.30329829454421997,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q13,gpt-oss,0.2885708808898926,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q13,llama,0.06608331203460693,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q13,qwen,0.18448370695114136,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q14,gemma,0.24795854091644287,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q14,gpt-oss,0.15371406078338623,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q14,llama,0.04705250263214111,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q14,qwen,0.13009941577911377,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q15,gemma,0.32672542333602905,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q15,gpt-oss,0.27930963039398193,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q15,llama,0.05821430683135986,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q15,qwen,0.1766045093536377,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q16,gemma,0.27327388525009155,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q16,gpt-oss,0.3005092740058899,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q16,llama,0.05810666084289551,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q16,qwen,0.1854456663131714,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q3,gemma,0.572378396987915,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q3,gpt-oss,0.22996234893798828,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q3,llama,0.1832122802734375,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q3,qwen,0.5931033492088318,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q4,gemma,0.382990300655365,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q4,gpt-oss,0.38630878925323486,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q4,llama,0.05732607841491699,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q4,qwen,0.6395740509033203,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q5,gemma,0.5719677805900574,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q5,gpt-oss,0.3724616765975952,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q5,llama,0.05665087699890137,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q5,qwen,0.36731022596359253,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q6,gemma,0.16342389583587646,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q6,gpt-oss,0.44022446870803833,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q6,llama,0.06803858280181885,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q6,qwen,0.41603535413742065,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q7,gemma,0.20701652765274048,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q7,gpt-oss,0.20597952604293823,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q7,llama,0.031923532485961914,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q7,qwen,0.23166412115097046,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q8,gemma,0.23780757188796997,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q8,gpt-oss,0.5106801390647888,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q8,llama,0.15339934825897217,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q8,qwen,0.3883187174797058,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q9,gemma,0.6714979410171509,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q9,gpt-oss,0.23899203538894653,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q9,llama,0.08594906330108643,0.0012484394506866417,0.0012484394506866417
wordassoc_energy,q9,qwen,0.25870370864868164,0.0012484394506866417,0.0012484394506866417
